valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.26,2002,0.586,['Coldplay'],0.277,238333,0.797,0,7KolrFGhfDi1JTSgQBT5sI,0.341,0,0.221,-5.66,1,A Whisper,58,2002-08-08,0.0385,177.00400000000005
0.382,2002,0.00099,['My Chemical Romance'],0.271,125627,0.931,1,46mPWQpvSFkXrr5nWoWW74,0.0,1,0.182,-6.81,0,Our Lady of Sorrows,50,2002,0.0785,142.407
0.345,2003,0.068,['blink-182'],0.535,183845,0.875,0,4nXKO951m6TdWQQbH1KJH3,0.00441,11,0.102,-8.316,1,Down,58,2003-11-01,0.0398,93.983
0.395,2003,0.01,['blink-182'],0.505,140563,0.98,0,0fsrRvpqr904AdKAPDXFkq,0.0258,6,0.236,-5.0360000000000005,0,Easy Target,53,2003-11-01,0.0979,159.80200000000005
0.484,2003,0.00842,['blink-182'],0.401,161136,0.981,0,5TxY7O9lFJJrd22FmboAXe,3.2299999999999986e-05,0,0.106,-4.926,1,Stockholm Syndrome,52,2003-11-01,0.0876,173.18200000000004
0.46,2003,0.000168,['blink-182'],0.317,163508,0.963,1,1KcmugpUozu6Llj3p5Qboa,0.0,4,0.19,-6.1720000000000015,1,Obvious,51,2003-11-01,0.08,170.34599999999998
0.455,2004,0.000275,['Sum 41'],0.45,184867,0.989,0,1lASDtTqKAfsnD6hixGKtz,0.0,6,0.872,-3.234,1,No Reason,56,2004-10-12,0.0574,97.968
0.0509,2004,0.942,['My Chemical Romance'],0.502,57173,0.0753,0,4vpaz6338VqJIeJHq6z2mU,0.314,9,0.0844,-22.70300000000001,1,Interlude,52,2004-06-08,0.0322,132.827
0.274,2005,0.61,['Coldplay'],0.607,250668,0.395,0,1wQXj5bgxyZQ2XmE2X9s6n,0.0076799999999999,0,0.33,-9.593,1,Til Kingdom Come,58,2005-06-07,0.0287,115.068
0.765,2007,0.000708,['Sum 41'],0.347,194133,0.988,0,6dXizHF3KbmdvOgvMAhnQC,0.0,9,0.101,-2.979,1,Underclass Hero,55,2007-01-01,0.127,191.933
0.428,2008,0.00722,['Coldplay'],0.378,249667,0.6629999999999999,0,2dphvmoLEXdk8hOYxmHlI3,0.797,1,0.191,-10.476,1,Strawberry Swing,55,2008-05-26,0.0458,173.136
0.723,2010,0.0006,['My Chemical Romance'],0.608,246760,0.954,1,3iitOoZUtWEgwZOEYFITFo,0.269,7,0.358,-3.507,1,Planetary (GO!),58,2010-11-05,0.0499,131.991
0.64,2010,0.000176,['My Chemical Romance'],0.261,218120,0.979,1,4kXHIm097G3CemN3PzcpgL,0.122,1,0.113,-3.652,0,Vampire Money,56,2010-11-05,0.0966,183.718
0.199,2010,0.0040799999999999,['My Chemical Romance'],0.5,272907,0.978,0,08gaUXuT1LXIae7TwBTCB9,0.593,9,0.204,-5.127999999999999,1,DESTROYA,56,2010-11-05,0.103,100.038
0.237,2011,0.00385,"['Coldplay', 'Rihanna']",0.42,239216,0.69,0,4HXOBjwv2RnLpGG4xWOO6N,0.015,9,0.287,-6.221,0,Princess of China,67,2011-10-24,0.0347,85.014
0.0948,2011,0.0212,['Coldplay'],0.43,285160,0.74,0,1yqMgZNrevsWMLWfO2PRp5,0.00165,10,0.33,-7.072,1,Charlie Brown,67,2011-10-24,0.0375,137.97799999999998
